Metrics for resnet50 at 20250712_122349
Optimizer, adamw
Weight Decay, 0.1
Hyperparameters
learning_rate,5e-05
batch_size,512
num_epochs,1000
test_every_x_epochs,3
weight_decay,0.1
Training Time (HH:MM:SS),01:51:19

epoch,train_loss,train_acc,test_loss,test_acc,best_test_acc
1,2.4711149088541666,0.11145833333333334,,,0.08823529411764706
2,2.424513750076294,0.16104166666666667,,,0.08823529411764706
3,2.379676103591919,0.22104166666666666,2.355414218528598,0.28921568627450983,0.28921568627450983
4,2.336703894933065,0.26875,,,0.28921568627450983
5,2.295324296951294,0.3202083333333333,,,0.28921568627450983
6,2.2559035269419354,0.3672916666666667,2.230836432587867,0.41568627450980394,0.41568627450980394
7,2.2178932730356853,0.41,,,0.41568627450980394
8,2.1803027375539146,0.4483333333333333,,,0.41568627450980394
9,2.1442325846354167,0.48104166666666665,2.1233120525584503,0.5186274509803922,0.5186274509803922
10,2.108627112706502,0.5079166666666667,,,0.5186274509803922
11,2.07496683438619,0.536875,,,0.5186274509803922
12,2.041796466509501,0.5616666666666666,2.0229855565463795,0.5774509803921568,0.5774509803921568
13,2.0105448389053344,0.5783333333333334,,,0.5774509803921568
14,1.979158730506897,0.5985416666666666,,,0.5774509803921568
15,1.9483409611384075,0.6145833333333334,1.9339130181892246,0.6215686274509804,0.6215686274509804
16,1.9195653279622396,0.628125,,,0.6215686274509804
17,1.891281533241272,0.6364583333333333,,,0.6215686274509804
18,1.8644701147079468,0.6464583333333334,1.8505246499005485,0.6519607843137255,0.6519607843137255
19,1.8374019352595012,0.651875,,,0.6519607843137255
20,1.8104531876246135,0.6602083333333333,,,0.6519607843137255
21,1.785524395306905,0.6685416666666667,1.7771508343079512,0.6705882352941176,0.6705882352941176
22,1.7624083439509073,0.6770833333333334,,,0.6705882352941176
23,1.7370132462183634,0.6829166666666666,,,0.6705882352941176
24,1.7142410294214885,0.6891666666666667,1.7073074836356967,0.6852941176470588,0.6852941176470588
25,1.692757976849874,0.68875,,,0.6852941176470588
26,1.6694855260849,0.6964583333333333,,,0.6852941176470588
